Key,Description,English,Czech,Danish,German,Spanish,Finnish,French,Hindi,Hungarian,Italian,Japanese,Korean,Norwegian,Dutch,Polish,Portuguese,Portuguese (Brazil),Romanian,Russian,Slovak,Swedish,Turkish,Ukrainian,Chinese (Simplified),Chinese (Traditional)
passjobs/cargo_name_full,,Passengers,Cestující,,Passagiere,Pasajeros,,Passagers,यात्रीगण,Utasok,Passeggeri,旅客,여객,Passasjerer,Passagiers,Pasażerowie,Passageiros,,Pasageri,Пассажиры,Pasažieri,Passagerare,Yolcular,Пасажири,乘客,乘客
passjobs/cargo_name_short,,Passengers,Cestující,,Passagiere,Pasajeros,,Passagers,यात्रीगण,Utasok,Passeggeri,旅客,여객,Passasjerer,Passagiers,Pasażerowie,Passageiros,,Pasageri,Пассажиры,Pasažieri,Passagerare,Yolcular,Пасажири,乘客,乘客
,,,,,,,,,,,,,,,,,,,,,,,,,,
passjobs/job_express_name,Job overview page header,Intercity Express,Rychlík,,Schnellzug,Tren Expreso,,Train Interurbain Express,दो शहरों के बीच चलने वाली जल्द् गाड़ी,Gyorsvonat,Interurbano espresso,急行列車,급행열차,Ekspresstog,Regionale sneltrein,Pociąg Pospieszny Międzymiastowy,Expresso Regional,,Trensport de Pasageri Interurban,Местный скорый поезд,Medzimestský Rýchlik,Snabbtåg,Şehirler arası ekspress,Регіональний Експресс,城际快车,快速列車
passjobs/job_express_description,"0 = destination
1 = via stations
2 = bonus amount",Transport an express train to {[0]} with stop(s) at {[1]} (${[2]}k bonus with on-time completion),Převezte rychlík na stanici {[0]} s zastávkou v {[1]} (${[2]}k bonus bez zpoždění),,Fahre einen Schnellzug nach {[0]} via {[1]} (${[2]}k Bonus bei pünktlicher Ankunft),Conduzca un tren expreso a {[0]} con parada(s) en {[1]} (bono de ${[2]}k por llegada a tiempo),,Transportez le train interurbain vers {[0]} et arrêtez-vous aux stations {[1]} (${[2]}k bonus si vous arrivez à temps).,{[0]} तक परिवहन कीजिए एक जल्द् रेलगाड़ी को जिसके रास्ते में {[1]} पर रुकाव(रुकावटें) होगा(होंगे)। (${[2]}हजार का अधिलाभ/मुनाफ़ा मिलेगा यदि निर्धारित समय से पहले या ठीक निर्धारित समय पे काम को पूरा किया जाऐ) ,Vezessen egy gyorsvonatot {[0]} -ig {[1]} felé. (${[2]}k bónusz jár a késés nélküli teljesítésért.),Trasporta un treno espresso a {[0]} con fermata(e) in {[1]}. (${[2]}k di bonus per completamento in orario),急行運転、{[0]}行き。途中で{[1]}に停車する（定時到着で${[2]}千ボーナスあり）,"{[1]} 경유 {[0]}행 급행열차. (정시 운행시 ${[2]},000 추가 지급)",Transporter et ekspresstog til {[0]} med stopp ved {[1]} (${[2]}k bonus ved ferdiggjørelse innen gitt tid) ,Vervoer een sneltrein naar {[0]} met tussenstop in {[1]} (${[2]}k bonus bij tijdige voltooiing),Dostarcz pociąg pospieszny do {[0]} zatrzymując się w {[1]} (${[2]} tys. premii za ukończenie na czas),Transporte um comboio expresso para {[0]} com paragem(s) em {[1]} (bónus de ${[2]}k com chegada a horas),,Transportați un tren interurban de la stația {[0]} și opriți-vă la stațiile {[1]} (${[2]}k bonus dacă ajungeți la timp).,Проследуйте со скорым поездом до {[0]} с остановками на станциях {[1]} (бонус за завершение задания вовремя: ${[2]} тыс.),Prepravte rýchlik do {[0]} so zastávkou v {[1]} (bonus ${[2]}k pri včasnom dokončení),Transportera ett snabbtåg till {[0]} med stopp på stationer {[1]} (${[2]}k bonus om du kommer i tid) ,,Доставте Експресс до {[0]} зупиняючись на {[1]} (бонус вчасної доставки: ${[2]}тис.),牵引城际特快列车到{[0]}，并在{[1]}停站(按时完成奖励${[2]}k),牽引快速列車前往{[0]}，途中停靠{[1]}（準點獎勵 ${[2]}k）
passjobs/job_express_direct_desc,"0 = destination
1 = bonus amount",Transport an express train to {[0]} (${[1]}k bonus with on-time completion),Převezte rychlík na stanici {[0]} (${[1]}k bonus bez zpoždění),,Fahre einen Schnellzug nach {[0]} (${[1]}k Bonus bei pünktlicher Ankunft),Conduzca un tren expreso a {[0]} (bono de ${[1]}k por llegada a tiempo),,Transportez le train express jusqu'à la station {[0]} (${[1]}k bonus si vous arrivez à temps).,एक जल्द् रेलगाड़ी को {[0]} तक परिवहन कीजिए। (${[1]}हजार का अधिलाभ/मुनाफ़ा मिलेगा समय से पहले या समय पे काम ख़त्म करने पर),Vezessen egy gyorsvonatot {[0]} -ig. (${[1]}k bónusz jár a késés nélküli teljesítésért.),Trasporta un treno espresso fino a {[0]} . (${[1]}k bonus per completamento in orario),急行運転、{[0]}行き。{[0]}まで停車なし。（定時到着で${[1]}千ボーナスあり）,"{[0]}행 급행열차. (정시 운행시 ${[1]},000 추가 지급)",Transporter et ekspresstog til {[0]} (${[1]}k bonus ved ferdiggjørelse innen gitt tid) ,Vervoer een sneltrein naar {[0]} (${[1]}k bonus bij tijdige voltooiing),Dostarcz pociąg pospieszny do {[0]} (${[1]} tys. premii za ukończenie na czas),Transporte um comboio expresso para {[0]} (bónus de ${[1]}k com chegada a horas),,Transportați un tren express până la stația {[0]} (${[1}k bonus dacă ajungeți la timp).,Проследуйте со скорым поездом до {[0]} (бонус за завершение задания вовремя: ${[1]} тыс.),Prepravte rýchlik do {[0]} (bonus ${[1]}k pri včasnom dokončení),Transportera ett snabbtåg till {[0]} (${[2]}k bonus om du kommer i tid) ,,Доставте Експресс до {[0]} (бонус вчасної доставки: ${[1]}тис.),牵引城际特快列车到{[0]}(准点奖励${[1]}k),牽引快速列車前往{[0]}（準點獎勵 ${[1]}k）
passjobs/job_express_cover,Job booklet cover text,Intercity Express,Rychlík,,Schnellzug,Tren Expreso,,Train Interurbain Express,दो शहरों के बीच चलने वाली जल्द् गाड़ी,Gyorsvonat,Interurbano espresso,急行列車,급행열차,Ekspresstog,Interregionale sneltrein,Pociąg Pospieszny Międzymiastowy,Expresso Regional,,Tren Interurban Express,Местный скорый поезд,Medzimestský Rýchlik,Snabbtåg,Şehirler arası ekspress,Регіональний Експресс,城际快车,快速列車
,,,,,,,,,,,,,,,,,,,,,,,,,,
passjobs/job_regional_name,Job overview page header,Regional Rail,Osobní vlak,,Regionalzug,Tren Regional,,Train de Banlieue,"क्षेत्रीय रेलगाड़ी
",Zónázó vonat,Treno Regionale,普通列車,완행열차,Regiontog,Regiospoor,Pociąg Osobowy,Regional,,Trensport de Pasageri Regional,Местный поезд,Regionálny Spoj,,Bölgesel hat,Місцевий поїзд,区间普快,區間列車
passjobs/job_regional_description,"0 = destination
1 = via stations
2 = bonus amount",Transport a regional train to {[0]} with stop(s) at {[1]} (${[2]}k bonus with on-time completion),Převezte osobní vlak na stanici {[0]} s zastávkou v {[1]} (${[2]}k bonus bez zpoždění),,Fahre einen Regionalzug nach {[0]} via {[1]} (${[2]}k Bonus bei pünktlicher Ankunft),Transporte un tren regional a {[0]} con parada(s) en {[1]} (bono de ${[2]}k por llegada a tiempo),,Transportez le train de banlieue vers {[0]} et arrêtez-vous aux stations {[1]} (${[2]}k bonus si vous arrivez à temps).,{[0]} तक परिवहन कीजिए एक क्षेत्रीय रेलगाड़ी को जिसके रास्ते में {[1]} पर रुकाव(रुकावटें) होगा(होंगे)। (${[2]}हजार का अधिलाभ/मुनाफ़ा मिलेगा यदि निर्धारित समय से पहले या ठीक निर्धारित समय पे काम को पूरा किया जाऐ) ,Vezessen egy zónázó vonatot {[0]} -ig {[1]} felé. (${[2]}k bónusz jár a késés nélküli teljesítésért.),Trasporta un treno regionale fino a {[0]} con fermata(e) in {[1]}. (${[2]}k di bonus per completamento in orario),各駅停車、{[0]}行き。途中で{[1]}に停車する（定時到着で${[2]}千ボーナスあり）,"{[1]} 경유 {[0]}행 완행열차. (정시 운행시 ${[2]},000 추가 지급)",Transporter et regiontog til {[0]} med stopp ved {[1]} (${[2]}k bonus ved ferdiggjørelse innen gitt tid),Vervoer en regiotrein naar {[0]} met een tussenstop(s) bij {[1]} (${[2]}k bonus bij tijdige voltooiing) ,Dostarcz pociąg osobowy do {[0]} zatrzymując się w {[1]} (${[2]} tys. premii za ukończenie na czas),Transporte um comboio regional para {[0]} com paragem(s) em {[1]} (bónus de ${[2]}k com chegada a horas),,Transportați un tren regional de la stația {[0]} și opriți-vă la stațiile {[1]} (${[2]}k bonus dacă ajungeți la timp).,Проследуйте с пассажирским поездом до {[0]} с остановками на станциях {[1]} (бонус за завершение задания вовремя: ${[2]} тыс.),Prepravte regionálny vlak do {[0]} so zastávkou v {[1]} (bonus ${[2]}k pri včasnom dokončení),,,Доставте потяг до {[0]} зупиняючись на {[1]} (бонус вчасної доставки: ${[2]}тис.),牵引区间普快列车前往{[0]}，中途停靠{[1]}（准点奖励${[2]}k）,牽引區間列車前往{[0]}，途中停靠{[1]}（準點獎勵 ${[2]}k）
passjobs/job_regional_cover,Job booklet cover text,Regional Rail,Osobní vlak,,Regionalzug,Tren Regional,,Train de Banlieue,क्षेत्रीय रेलगाड़ी,Zónázó vonat,Treno Regionale,普通列車,완행열차,Regiontog,Regiospoor,Pociąg Osobowy,Regional,,Trensport de Pasageri Regional,Местный поезд,Regionálny Spoj,,Bölgesel hat,Місцевий поїзд,区间普快,區間列車
,,,,,,,,,,,,,,,,,,,,,,,,,,
passjobs/sign_incoming_train,"0 = train name
1 = source station",{[0]} from {[1]},{[0]} z {[1]},,{[0]} von {[1]},{[0]} de {[1]},,{[0]} provenant de {[1]},रेलगाड़ी {[0]} स्टेशन {[1]} से    ,{[0]} felől {[1]},{[0]} in arrivo da {[1]},{[0]}（{[1]}始発）,{[1]}발 {[0]} 열차,{[0]} ankomst fra {[1]},{[0]} van {[1]},{[0]} ze stacji {[1]},{[0]} procedente de {[1]},,{[0]} de la stația {[1]},{[0]} от станции {[1]},{[0]} príchodom z {[1]},{[0]} ankommande från {[1]},,{[0]} від {[1]},{[0]}由{[1]}始发,{[1]}發車的{[0]}
passjobs/sign_outgoing_train,"0 = train name
1 = destination",{[0]} to {[1]},{[0]} do {[1]},,{[0]} nach {[1]},{[0]} a {[1]},,{[0]} en direction de {[1]},रेलगाड़ी {[0]} स्टेशन {[1]} तक  ,{[0]} {[1]} felé,{[0]} in partenza per {[1]},{[0]}（{[1]}行き）,{[1]}행 {[0]} 열차,{[0]} avgang til {[1]},{[0]} naar {[1]},{[0]} do stacji {[1]},{[0]} com destino a {[1]},,{[0]} in direcția {[1]},{[0]} до станции {[1]},{[0]} smerom do {[1]},{[0]} med avgång till {[1]},,{[0]} до {[1]},{[0]}开往{[1]},開往{[1]}的{[0]}
passjobs/sign_express_name,0 = train number,Express {[0]},Rychlík {[0]},,Schnellzug {[0]},Expreso {[0]},,Express {[0]},जल्द् गाड़ी संख्या {[0]},Expresszvonat {[0]},Espresso {[0]},急行　{[0]},급행 {[0]},Ekspresstog {[0]},Sneltrein {[0]},Pociąg Pospieszny {[0]},Expresso {[0]},,Express {[0]},Скорый поезд № {[0]},Rýchlik {[0]},,,Регіональний Експресс № {[0]},{[0]}次特快,快速列車{[0]}
passjobs/sign_local_name,0 = train number,Regional {[0]},Osobní {[0]},,Regionalzug {[0]},Regional {[0]},,Régional {[0]},क्षेत्रीय गाड़ी संख्या {[0]},Személyvonat {[0]},Regionale {[0]},普通　{[0]},완행 {[0]},Regiontog {[0]},Regiotrein {[0]} ,Pociąg Osobowy {[0]},Regional {[0]},,Regional {[0]},Пасс. поезд № {[0]},Regionálny vlak {[0]},,,Місцевий поїзд № {[0]},区间普快{[0]},區間列車{[0]}
passjobs/sign_boarding,,Now Boarding,Probíhá nástup,,Bitte einsteigen,Arrivando Ahora,,Embarquement,यात्रीगण चढ़ाई प्रक्रिया जारी (यात्रीगण अब चढ़िए),Kérjük szálljanak fel a vonatra,Imbarco immediato,乗降中,승차중,Ombordstigning nå,Instappen a.u.b.,Wsiadanie,A embarcar,,Îmbarcare,Идет посадка,Prebieha nástup,Påstigning,Biniliyor,Проводиться посадка,列车开始检票,開放乘車
passjobs/sign_departing,,Ready To Depart,Připraven k odjezdu,,Bereit zur Abfahrt,Listo Para Salir,,Départ imminent,रेलगाड़ी रवाना होने को तैयार है,Azonnal indul!,In partenza,出発準備完了,출발 준비 완료,Klar til avgang,Klaar om te vertrekken,Gotów do odjazdu,Pronto a partir,,Gata de plecare,Готов к отправлению,Pripravený na odchod,Redo för avgång,Kalkışa hazır,Готовий до відправлення,列车准备发车,準備發車
passjobs/sign_empty,,Unloading Finished,Výstup ukončen,,Aussteigen abgeschlossen,Descarga Finalizada,,Fin du débarquement,यात्रीगण की उतराव प्रक्रिया समाप्त हुई ,Végállomás - A vonat nem közlekedik tovább!,Sbarco completato,回送,하차 완료,Lossing fullført,Uitstappen voltooid ,Rozładunek zakończony,Desembarque concluído,,Sfârșitul debarcării,Высадка завершена,Výstup ukončený,,İndirme tamamlandı,Висадка завершена,乘客已下车,乘客已上下車
,,,,,,,,,,,,,,,,,,,,,,,,,,
passjobs/station_hn,,Highlands North,Vysočina Sever,,Hochebene Nord,Tierras Altas Del Norte,,Hauts Plateaux du Nord,उत्तरीय उच्च भूमि,Északi Fennsík,Altopiano settentrionale,,북부고원 (HN),Nordre Høyland,,Wyżyny Północne,Terras Altas Norte,,Munții din Nord,Горная-север,Vysočina sever,,,Північне Високогір'я,高地北,高地北
passjobs/station_mr,,Mountain Retreat,Horské Útočiště,,Berg Rückzug,Refugio Montañés,,Refuge des Montagnes,आश्रय देने वाला पर्वत,Hegyi Pihenő,Rifugio di montagna,,산정휴양림 (MR),Fjellferiestedet,,Górskie Schronienie,Repouso da Montanha,,Refugiu din Munte,Убежище,Horské útočisko,,,Гірський Виступ,宁静山,寧靜山丘
passjobs/station_so,,Spiral Overlook,Vyhlídka Na Smyčce,,Wendelausblick,Mirador Del Espiral,,Vue sur la Spirale,सर्पिल दृश्य स्थल,Csavart Kilátó,Panorama sulla Spirale,,나선정 (SO),Utsikt Over Spiralen,,Widok na Ślimak,Miradouro da Espiral,,Vedere în spirală,Спиральная,Vyhliadka na slučke,,,Спіральна Околиця,盘旋山,螺旋山丘
passjobs/station_np,,Northern Pass,Severní Průsmyk,,Nordpass,Paso Del Norte,,Passage du Nord,उत्तरीय दर्रा,Északi Átjáró,Passo settentrionale,,추풍령 (NP),Nordpassasjen,,Północna Przełęcz,Passo Nortenho,,Pasaj-ul din Nord,Северный Перевал,Severný priesmyk,,,Північний Перевал,山谷北,北部山口
passjobs/station_rj,,Riverside Junction,Pobřežní Křižovatka,,Flussmündung,Cruce De Riberas,,Croisement du fleuve,नदी किनारे वाला रेलमार्गसंयोग,Folyómenti Csomópont,Incrocio sul fiume,,강변 (RJ),Elvebreddkrysset,,Węzeł Nadrzeczny,Bifurcação da Ribeira,,Intersecția Fluviului,Прибрежная,Nábrežná križovatka,,,Річкова Набережна,河畔匝道,河畔交界
passjobs/station_gfo,,Goods Factory Overlook,Vyhlídka Nad Továrnou,,Güterfabrik Ausblick,Mirador de la Fábrica de Bienes,,Vue sur la Fabrique de Biens,माल कारखाना का दृश्य स्थल,Gyári Kilátó,Panorama sulla fabbrica degli oggetti,,잡화공장전망대 (GFO),Utsikt Over Varefabrikken,,Widok na Fabrykę Towarów,Miradouro da Fábrica de Mercadoria,,Vedere in Fabrici de Marfă,Фабричный Мост,Vyhliadka nad továrňou,,,Фабрика та Місто (верхня),货厂北,商品工廠山丘
passjobs/station_fw,,Western Forest,Západní Les,,Westlicher Wald,Bosque Occidental,,Forêt de l'Ouest,पश्चिमी जंगल,Nyugati Erdő,Foresta occidentale,,서림 (FW),Vestskogen,,Zachodni Las,Floresta Ocidental,,Padurea din Vest,Западный Лес,Západný les,,,Західний Ліс,森林西,西部森林
passjobs/station_wf,,Wheat Fields,Obilné Pole,,Weizenfeld,Campos De Trigo,,Champs de Blé,गेहूं के खेत,Búzamezők,Campi di grano,,밀밭 (WF),Hveteåkre,,Pola Pszenicy,Campos de Trigo,,Lanuri de grâu,Полевая,Pšeničné polia,,,Пшеничні Поля,麦田,麥田
passjobs/station_wl,,Western Lake,Západní Jezero,,Westlicher See,Lago Occidental,,Lac de l'Ouest,पश्चिमी सरोवर,Nyugati Tó,Lago occidentale,,서호 (WL),Vestinnsjøen,,Zachodnie Jezioro,Lago Ocidental,,Lacul din Vest,Западное Озеро,Západné jazero,,,Західне Озеро,西湖,西湖畔
passjobs/station_hv,,Hidden Valley,Skryté Údolí,,Verborgenes Tal,Valle Escondido,,Vallée Cachée,अदृश्य घाटी,Rejtett Völgy,Valle nascosta,,은곡 (HV),Den Gjemte Dalen,,Ukryta Dolina,Vale Escondido,,Valea Ascunsă,Скрытая Долина,Skrytá dolina,,,Прихована Долина,隐谷,隱谷
passjobs/station_rs,,Radio Summit,Vrcholek S Rozhlasem,,Radiogipfel,Cumbre De La Radio,,Sommet de la Tour,आकाशवाणी की चोटी,Rádió Hegytető,Picco della Radio,,전파탑 (RS),Radiotoppen,,Radiowy Szczyt,Cume da Rádio,,Vârf-ul Turnului,Вершина Радио,Vrcholok s rozhlasom,,,Радіовежа,无线山,無線電山頂
passjobs/station_ci,,Central Industries,Centrální Závody,,Zentrale Industrie,Industrias Centrales,,Industries Centrales,मध्य उद्योग,Központi Gyárak,Industrie centrali,,중앙산업단지 (CI),Sentrale Industrier,,Centralny Przemysł,Industrias Centrais,,Industriile Centrale,Индустриальная,Centrálne závody,,,Індустріальна Центральна,中工,中央工業區
passjobs/station_sl,,Southern Lakes,Jižní Jezera,,Südliche Seen,Lagos Del Sur,,Lacs du Sud,दक्षिण दिशा के सरोवर,Déli Tavak,Laghi settentrionali,,남호 (SL),Sørlige Innsjøer,,Południowe Jeziora,Lagos do Sul,,Lacurile din Sud,Южные Озера,Južné jazerá,,,Південні Озера,南湖,南湖區
passjobs/station_vsw,,Valley Southwest,Jihozápadní Údolí,,Tal Südwest,Valle Suroeste,,Vallée du Sud-Ouest,नैऋत्य घाटी,Délnyugati Völgy,Vallata sud-occidentale,,남서계곡 (VSW),Sørvestdalen,,Dolina Południowo-Zachodnia,Vale Sudoeste,,Valea Sud-Vest,Юго-Западная,Údolie juhovýchod,,,Долина Південно-Західна,山谷西南,谷地西南
passjobs/station_ov,,Ocean View,Oceánská Vyhlídka,,Meeraublick,Mirador Marítimo,,Vue sur l'Océan,महासमुद्र दृश्य ,Óceáni Kilátó,Vista oceanica,,정동진 (OV),Sjøsikten,,Widok na Ocean,Vista Oceânica,,Vedere în Ocean,Океанская,Výhľad na oceán,,,Океанічна,海畔,海景
passjobs/station_cmp,,Coal Mine,Uhelné Doly,,Kohlemine,Mina De Carbón,,Mine de Charbon,कोयला का खदान,Szénbánya,Miniera di carbone,,태백 (CMP),Kullgruve,,Kopalnia Węgla,Mina de Carvão,,Mine de Cărbune,Угольная шахта - Пасс.,Uhoľná baňa,,,Вугільна Шахта пасажирська,煤矿,煤礦
passjobs/station_am,,Alpine Meadows,Horské Louky,,Almwiesen,Prados Alpinos,,Prairies Alpines,ऐल्पीय जलवायु के घाँस मैदान,Alpesi Mező,Prati alpini,,초원 (AM),Alpinengene,,Alpejskie Łąki,Prado Alpino,,Prerii Alpine, Альпийская,Horské pasienky,,,Гірський Луг,高草甸,山丘草甸
